oxide,scale
CaO,0.7834441083732369
MgO,0.3762792264807943
Na2O,0.3898002225004039
K2O,0.3160856595808896
Al2O3,0.3600489305194473
Fe2O3,0.45833485371318383
SiO2,0.30500277058824987
MnO,0.06103289104987607
TiO2,0.24111460005892063
P2O5,0.14501489105272267
