oxide,mean
CaO,0.8679197089411337
MgO,0.7474952411933737
Na2O,0.6926206642141169
K2O,0.9857462269744348
Al2O3,2.4788858540160486
Fe2O3,1.6862462454393201
SiO2,4.092205440603401
MnO,0.0787154452237955
TiO2,0.5499418990199829
P2O5,0.13386188616946873
