oxide,scale
CaO,0.7839440387273785
MgO,0.37712163480693467
Na2O,0.3923829471457447
K2O,0.32151678398657574
Al2O3,0.36351554227875893
Fe2O3,0.4772795356288667
SiO2,0.32923884520564217
MnO,0.06200050035530519
TiO2,0.26288135669999146
P2O5,0.14798826681158805
